title,rating,tokens
Camille,3.68,Camille
Ramblin' Man: The Life and Times of Woody Guthrie,4.15,Ramblin' Man: The Life and Times of Woody Guthrie
Being There,3.86,Being There
The Consequences Series Box Set,4.47,The Consequences Series Box Set
Shadows,3.78,Shadows
A Friend Like Henry,4.14,A Friend Like Henry
The Girl of Ink and Stars,3.71,The Girl of Ink and Stars
The Tenderness of Wolves,3.77,The Tenderness of Wolves
Escaping The Wheel: A Novel,3.81,Escaping The Wheel: A Novel
The White Boy Shuffle,4.1,The White Boy Shuffle
The Young Ancients: Books I-VI,4.08,The Young Ancients: Books I-VI
The Reprieve,3.95,The Reprieve
Wintertide,4.45,Wintertide
Homo Sacer: Sovereign Power and Bare Life,4.04,Homo Sacer: Sovereign Power and Bare Life
Ministry of Space,3.71,Ministry of Space
A Plunder of Souls,3.98,A Plunder of Souls
Anne Frank: A Hidden Life,4.25,Anne Frank: A Hidden Life
Veritas The Pharmacological Endgame,4.68,Veritas The Pharmacological Endgame
Adrift,3.7,Adrift
Spaceland,3.6,Spaceland
Invaded,3.94,Invaded
Worth Fighting For,4.21,Worth Fighting For
Carpe Corpus,4.2,Carpe Corpus
Asterios Polyp,4.19,Asterios Polyp
花樣年華 HYYH The Notes 1,4.58,花樣年華 HYYH The Notes 1
Dismember,3.66,Dismember
The Daylight War,4.21,The Daylight War
Suddenly You,3.96,Suddenly You
"Y: The Last Man, Vol. 6: Girl on Girl",4.2,"Y: The Last Man, Vol. 6: Girl on Girl"
Emotional Intelligence: Why It Can Matter More Than IQ,4.02,Emotional Intelligence: Why It Can Matter More Than IQ
Identical Strangers: A Memoir of Twins Separated and Reunited,3.62,Identical Strangers: A Memoir of Twins Separated and Reunited
Quarantine,3.89,Quarantine
Pride Mates,3.91,Pride Mates
Swarm,3.77,Swarm
Mixed Blessings,3.8,Mixed Blessings
Passage to Mutiny,4.08,Passage to Mutiny
Chasing Fire,4.12,Chasing Fire
Freeing,4.08,Freeing
The Slippery Slope,4.03,The Slippery Slope
Bad Men,3.97,Bad Men
Jesus: A Revolutionary Biography,3.97,Jesus: A Revolutionary Biography
Mission of Gravity,3.92,Mission of Gravity
The Book of the New Sun,4.19,The Book of the New Sun
"Desire & Decorum, Book 1 (Desire & Decorum, #1)",4.35,"Desire & Decorum, Book 1 (Desire & Decorum, #1)"
On The Principles of Social Gravity,5.0,On The Principles of Social Gravity
With My Body,3.46,With My Body
Survival,3.99,Survival
A Good and Useful Hurt,3.71,A Good and Useful Hurt
Batman: Year One,4.22,Batman: Year One
The Drowning Girl,3.72,The Drowning Girl
Phenomenal X,3.92,Phenomenal X
The Asylum Dweller's Diary,4.07,The Asylum Dweller's Diary
Arouse,4.01,Arouse
The Dangerous Book for Boys,4.03,The Dangerous Book for Boys
Magician: Master,4.23,Magician: Master
"Invincible: Ultimate Collection, Vol. 1",4.27,"Invincible: Ultimate Collection, Vol. 1"
Little Children,3.63,Little Children
Eye of the Storm,3.99,Eye of the Storm
After Midnight,3.9,After Midnight
Lord Perfect,4.03,Lord Perfect
Crime,3.44,Crime
Mystery of the Glowing Eye,3.88,Mystery of the Glowing Eye
The Mercenary,4.44,The Mercenary
Endless Night,3.8,Endless Night
Leo,4.03,Leo
"The Monuments Men: Allied Heroes, Nazi Thieves, and the Greatest Treasure Hunt in History",3.76,"The Monuments Men: Allied Heroes, Nazi Thieves, and the Greatest Treasure Hunt in History"
Martin Eden,4.44,Martin Eden
What Really Happened in Peru,3.74,What Really Happened in Peru
What is Reincarnation?,3.0,What is Reincarnation?
The Jewel in the Crown,4.15,The Jewel in the Crown
Twenty Prose Poems,4.34,Twenty Prose Poems
The Silent Boy,3.73,The Silent Boy
Runaway,4.11,Runaway
The Etched City,3.66,The Etched City
A Perfectly Good Man,3.92,A Perfectly Good Man
Red Midnight,3.9,Red Midnight
Fall of Night,4.19,Fall of Night
Confessions of a Mask,3.93,Confessions of a Mask
Dark Knights And Dingy Castles,4.03,Dark Knights And Dingy Castles
Genius Squad,3.87,Genius Squad
Deep and Dark and Dangerous (A Ghost Story),4.21,Deep and Dark and Dangerous (A Ghost Story)
The Red Box,4.06,The Red Box
What Came Before He Shot Her,3.56,What Came Before He Shot Her
The Bear,3.33,The Bear
The Intelligent Universe: A New View of Creation and Evolution,4.15,The Intelligent Universe: A New View of Creation and Evolution
Side Jobs,4.26,Side Jobs
The Dancing Boy,4.09,The Dancing Boy
One for the Murphys,4.33,One for the Murphys
The Innovation Secrets of Steve Jobs,4.07,The Innovation Secrets of Steve Jobs
Consider Phlebas,3.86,Consider Phlebas
Hiding in the Shadows,4.12,Hiding in the Shadows
Shaman,4.13,Shaman
Love Songs For the Shy and Cynical,4.24,Love Songs For the Shy and Cynical
Rabbit at Rest,3.98,Rabbit at Rest
Highland Ever After,4.22,Highland Ever After
The Lightless Sky: My Journey to Safety as a Child Refugee,4.46,The Lightless Sky: My Journey to Safety as a Child Refugee
National Lampoon: 1964 High School Yearbook: 39th Reunion Edition,4.39,National Lampoon: 1964 High School Yearbook: 39th Reunion Edition
Kill the Dead,4.07,Kill the Dead
Summer of '49,4.08,Summer of '49
They Whisper,3.41,They Whisper
The O'Sullivan Twins,4.01,The O'Sullivan Twins
The Liquidator,3.85,The Liquidator
The Darkest Secret,4.31,The Darkest Secret
The IHOP Papers,3.54,The IHOP Papers
The Realms of the Gods,4.31,The Realms of the Gods
Character Is Destiny: Inspiring Stories Every Young Person Should Know and Every Adult Should Remember,3.91,Character Is Destiny: Inspiring Stories Every Young Person Should Know and Every Adult Should Remember
The Earth,4.08,The Earth
The Charmed Return,4.01,The Charmed Return
June’s Stolen Rose (Seasons of Love and War Book 4),4.73,June’s Stolen Rose (Seasons of Love and War Book 4)
Mycelium Running: How Mushrooms Can Help Save the World,4.43,Mycelium Running: How Mushrooms Can Help Save the World
The Mark of the Assassin,4.08,The Mark of the Assassin
Bollywood Cinema: Temples of Desire,3.76,Bollywood Cinema: Temples of Desire
Wild Hunger,4.24,Wild Hunger
The View from Here,3.53,The View from Here
The Borrowers Afield,4.07,The Borrowers Afield
"Alice 19th, Vol. 3",4.08,"Alice 19th, Vol. 3"
Make the Corpse Walk,3.64,Make the Corpse Walk
Cosmopolitanism and the Geographies of Freedom,4.08,Cosmopolitanism and the Geographies of Freedom
A Reginald Bones Xmas: Bones Brothers 2,4.73,A Reginald Bones Xmas: Bones Brothers 2
Earth Abides,3.96,Earth Abides
Barrel Fever: Stories and Essays,3.79,Barrel Fever: Stories and Essays
Below the Root,4.11,Below the Root
That Affair Next Door,3.67,That Affair Next Door
The Teddy Bear,4.3,The Teddy Bear
Moonlight on the Avenue of Faith,4.04,Moonlight on the Avenue of Faith
Gun Control & The Second Amendment 2nd Edition Revised & Expanded,3.14,Gun Control & The Second Amendment 2nd Edition Revised & Expanded
The Wolves of Willoughby Chase,4.06,The Wolves of Willoughby Chase
"The Walking Dead, Vol. 8: Made to Suffer",4.46,"The Walking Dead, Vol. 8: Made to Suffer"
Scandal,3.99,Scandal
"The Other Brain: From Dementia to Schizophrenia, How New Discoveries about the Brain Are Revolutionizing Medicine and Science",4.1,"The Other Brain: From Dementia to Schizophrenia, How New Discoveries about the Brain Are Revolutionizing Medicine and Science"
Twisted Twosome,4.32,Twisted Twosome
The Wind in the Willows,3.82,The Wind in the Willows
Love & Misadventure,3.99,Love & Misadventure
Rose of Soweto: The Dingaan Thobela Story,4.5,Rose of Soweto: The Dingaan Thobela Story
"Capital, Vol. 1: A Critical Analysis of Capitalist Production",4.22,"Capital, Vol. 1: A Critical Analysis of Capitalist Production"
Infestation,3.93,Infestation
Arms and the Man,3.87,Arms and the Man
Fifth Business,4.05,Fifth Business
A Very Long Engagement,3.9,A Very Long Engagement
The Confessions of Nat Turner,3.96,The Confessions of Nat Turner
The Sunflower,4.11,The Sunflower
Shadow Hills,3.67,Shadow Hills
Simple Prayers,4.1,Simple Prayers
Jack & Louisa: Act 1,4.15,Jack & Louisa: Act 1
Retrieving for All Occasions,4.22,Retrieving for All Occasions
A Feast of Snakes,4.01,A Feast of Snakes
"The Walking Dead, Vol. 7: The Calm Before",4.26,"The Walking Dead, Vol. 7: The Calm Before"
Cool Hand Luke,4.15,Cool Hand Luke
Hidden Husband,3.68,Hidden Husband
Dungeons of Strata (Deepest Dungeon #1),4.22,Dungeons of Strata (Deepest Dungeon #1)
Drift: The Unmooring of American Military Power,4.08,Drift: The Unmooring of American Military Power
Getting Things Done: The Art of Stress-Free Productivity,3.99,Getting Things Done: The Art of Stress-Free Productivity
A Briefer History of Time,4.23,A Briefer History of Time
Briskwood Blood Rain,4.35,Briskwood Blood Rain
The Curse of the Gloamglozer,4.1,The Curse of the Gloamglozer
The Ballad of Aramei,4.11,The Ballad of Aramei
Three Adventures Of The Scarlet Pimpernel,3.73,Three Adventures Of The Scarlet Pimpernel
Flight of the Intruder,4.08,Flight of the Intruder
Truth,4.14,Truth
The Grub-And-Stakers Pinch a Poke,3.91,The Grub-And-Stakers Pinch a Poke
The Glamour,3.78,The Glamour
Other Colors: Essays and A Story,3.92,Other Colors: Essays and A Story
The Prince,3.82,The Prince
Lila's Christmas Angel,3.73,Lila's Christmas Angel
Black Cherry Blues,4.16,Black Cherry Blues
Some Kind of Courage,4.36,Some Kind of Courage
One Good Knight,3.85,One Good Knight
The Line,4.35,The Line
CONTRIVED,3.38,CONTRIVED
The Unlikely Ones,3.98,The Unlikely Ones
Human Development,3.86,Human Development
The Nano Flower,4.02,The Nano Flower
Thank You for Being Late: An Optimist's Guide to Thriving in the Age of Accelerations,3.9,Thank You for Being Late: An Optimist's Guide to Thriving in the Age of Accelerations
Storm Born,3.86,Storm Born
The Status Civilization,3.95,The Status Civilization
I Call Myself Earth Girl,4.25,I Call Myself Earth Girl
Emily Windsnap and the Monster from the Deep,3.95,Emily Windsnap and the Monster from the Deep
Now You See Her,4.01,Now You See Her
Tears of the Desert: A Memoir of Survival in Darfur,4.19,Tears of the Desert: A Memoir of Survival in Darfur
Thunder Voice,4.17,Thunder Voice
Something Dangerous,4.32,Something Dangerous
Death Comes for the Fat Man,4.16,Death Comes for the Fat Man
Into the Flame,4.16,Into the Flame
Bleeding Heart (A Timeless Fable About Living Life With Passion),4.48,Bleeding Heart (A Timeless Fable About Living Life With Passion)
Georgia Nicolson Pack,4.39,Georgia Nicolson Pack
"Scarlet & Jason : When the destiny unites us ( Scarlet & Jason ,#1)",4.6,"Scarlet & Jason : When the destiny unites us ( Scarlet & Jason ,#1)"
The Toothpaste Millionaire,4.08,The Toothpaste Millionaire
The Bad Behavior of Belle Cantrell,3.69,The Bad Behavior of Belle Cantrell
Exit Music,4.12,Exit Music
Ava's Surprise,4.67,Ava's Surprise
Come Winter,3.56,Come Winter
The Swarm,4.06,The Swarm
Miss Julia Speaks Her Mind,3.77,Miss Julia Speaks Her Mind
Drinking: A Love Story,4.06,Drinking: A Love Story
Jane of Lantern Hill,4.15,Jane of Lantern Hill
Cordelia's Honor,4.36,Cordelia's Honor
Woman on the Run,3.97,Woman on the Run
Robopocalypse,3.69,Robopocalypse
Love Unscripted,4.02,Love Unscripted
Final Jeopardy,3.84,Final Jeopardy
Gone with the Windsors,3.73,Gone with the Windsors
The Night Land,3.55,The Night Land
Battle Royale,4.16,Battle Royale
Standing in the Rainbow,4.04,Standing in the Rainbow
Leni Riefenstahl,3.86,Leni Riefenstahl
Reflections of Christ,4.64,Reflections of Christ
Bones and Roses,3.64,Bones and Roses
His Last Bow (single story),4.04,His Last Bow (single story)
A Rock and a Hard Place: One Boy's Triumphant Story,3.56,A Rock and a Hard Place: One Boy's Triumphant Story
Joseph Had a Little Overcoat,4.13,Joseph Had a Little Overcoat
The Next Right Thing,3.38,The Next Right Thing
House of Suns,4.22,House of Suns
Mrs. Jeffries Holds the Trump,4.08,Mrs. Jeffries Holds the Trump
His Alone,4.0,His Alone
The Trial of Colonel Sweeto and Other Stories,4.37,The Trial of Colonel Sweeto and Other Stories
The Room,3.37,The Room
In Mad Love and War,4.23,In Mad Love and War
Diving In,3.64,Diving In
The Seasons of Life,4.35,The Seasons of Life
Timepiece,3.86,Timepiece
And Lead Us Not,5.0,And Lead Us Not
Eating Stone: Imagination and the Loss of the Wild,4.12,Eating Stone: Imagination and the Loss of the Wild
The Fractal Geometry of Nature,4.21,The Fractal Geometry of Nature
Horizon,4.28,Horizon
Bridge to Terabithia,4.01,Bridge to Terabithia
Lair of Dreams,4.13,Lair of Dreams
DC Universe: The Stories of Alan Moore,4.09,DC Universe: The Stories of Alan Moore
Be with Me,4.14,Be with Me
Soul of a Highlander,4.16,Soul of a Highlander
Sweet Thursday,4.1,Sweet Thursday
Leviathan,3.96,Leviathan
The Return of the Native,3.86,The Return of the Native
Nikolai Gogol,4.18,Nikolai Gogol
With Charity Toward None: A Fond Look At Misanthropy,4.02,With Charity Toward None: A Fond Look At Misanthropy
In Farleigh Field,3.95,In Farleigh Field
"Little, Big",3.82,"Little, Big"
The Golden Scarab,3.77,The Golden Scarab
Him,3.72,Him
Wings,3.75,Wings
Fool Me Once,3.73,Fool Me Once
What The Torah Teaches Us About Life / Through The Themes Of The Weekly Torah Portions (4),4.55,What The Torah Teaches Us About Life / Through The Themes Of The Weekly Torah Portions (4)
Prime,4.05,Prime
Briar Rose,3.79,Briar Rose
Unsinkable,3.83,Unsinkable
A Trail of Fire,4.26,A Trail of Fire
The Wind in the Willows,3.98,The Wind in the Willows
Free Food for Millionaires,3.73,Free Food for Millionaires
Executive Power,4.3,Executive Power
The Girl Who Stopped Swimming,3.48,The Girl Who Stopped Swimming
The Sparrow,4.13,The Sparrow
The Stars Look Down,4.28,The Stars Look Down
Deadly Game,4.36,Deadly Game
Wicked Deeds on a Winter's Night,4.36,Wicked Deeds on a Winter's Night
The Man Who Made Vermeers: Unvarnishing the Legend of Master Forger Han van Meegeren,3.76,The Man Who Made Vermeers: Unvarnishing the Legend of Master Forger Han van Meegeren
Lee's Lieutenants: A Study In Command,4.4,Lee's Lieutenants: A Study In Command
"Lord of the White Hell, Book 2",4.18,"Lord of the White Hell, Book 2"
Rules of Attraction,4.19,Rules of Attraction
A Spy in the House,3.76,A Spy in the House
Hunters of the Dusk,4.17,Hunters of the Dusk
Spies,3.54,Spies
A Dog Called Kitty,4.06,A Dog Called Kitty
In Praise of Idleness and Other Essays,4.07,In Praise of Idleness and Other Essays
Fever Pitch,3.75,Fever Pitch
"GTO: Great Teacher Onizuka, Vol. 1",4.23,"GTO: Great Teacher Onizuka, Vol. 1"
Win,4.46,Win
Epic Fail,3.73,Epic Fail
The Archer's Tale,4.13,The Archer's Tale
Bifocal,3.6,Bifocal
The Leopard Stratagem,4.38,The Leopard Stratagem
The Steele Wolf,4.36,The Steele Wolf
Daddy's,4.11,Daddy's
The Story of My Life,4.08,The Story of My Life
Summer's Storm,3.96,Summer's Storm
Seven Little Australians,3.89,Seven Little Australians
Marathon Baba,3.39,Marathon Baba
"Just Like Me, Only Better",3.41,"Just Like Me, Only Better"
Metzger's Dog,3.95,Metzger's Dog
Duck Goes Potty,3.63,Duck Goes Potty
The Locket,3.66,The Locket
Mörderische Gutenachtgeschichten,4.6,Mörderische Gutenachtgeschichten
Dogs of War,4.26,Dogs of War
UnDivided,4.47,UnDivided
Jacky Daydream,3.63,Jacky Daydream
Tournament of Losers,4.17,Tournament of Losers
Underdog,3.37,Underdog
Dreamer,3.44,Dreamer
Dear Emmie Blue,4.23,Dear Emmie Blue
The Dark Room,3.74,The Dark Room
Throne of Jade,3.87,Throne of Jade
Galactic Energies,3.95,Galactic Energies
Born to Trot,4.09,Born to Trot
A Three Course Meal for the Mind,4.47,A Three Course Meal for the Mind
Memoirs of a Geisha,4.12,Memoirs of a Geisha
Illuminations,4.37,Illuminations
The Drawing of the Dark,3.93,The Drawing of the Dark
Vicious,4.21,Vicious
The Works of the Brontë Sisters,4.33,The Works of the Brontë Sisters
The Merchant of Venice,3.8,The Merchant of Venice
Once Upon a Time When We Were Colored: Tie in Edition,3.9,Once Upon a Time When We Were Colored: Tie in Edition
Black Magic,3.99,Black Magic
Chase the Dark,4.17,Chase the Dark
Am I the Princess or the Frog?,4.05,Am I the Princess or the Frog?
My Secret Diary,3.66,My Secret Diary
Free in Christ,4.5,Free in Christ
To the Far Blue Mountains,4.15,To the Far Blue Mountains
Gretel,3.74,Gretel
Life's That Way,4.52,Life's That Way
Dating Mr. Darcy,3.56,Dating Mr. Darcy
In Watermelon Sugar,3.99,In Watermelon Sugar
Masquerade,4.04,Masquerade
The Anatomy of Melancholy,4.17,The Anatomy of Melancholy
Tempted,3.81,Tempted
I of the Vortex: From Neurons to Self,4.15,I of the Vortex: From Neurons to Self
The Art of the Novel,3.97,The Art of the Novel
The Mark of Athena,4.45,The Mark of Athena
Mudbound,4.03,Mudbound
Eyes of Justice,3.98,Eyes of Justice
Drums for Rancas,4.04,Drums for Rancas
Before I Break,4.28,Before I Break
The Silence of Bonaventure Arrow,4.08,The Silence of Bonaventure Arrow
Natural Order,3.91,Natural Order
No Comebacks,3.92,No Comebacks
The Three Laws of Performance: Rewriting the Future of Your Organization and Your Life,4.05,The Three Laws of Performance: Rewriting the Future of Your Organization and Your Life
Ghosts: True Encounters from the World Beyond,3.99,Ghosts: True Encounters from the World Beyond
More Information Than You Require,3.84,More Information Than You Require
"Anne Frank's Tales from the Secret Annex: A Collection of Her Short Stories, Fables, and Lesser-Known Writings",4.24,"Anne Frank's Tales from the Secret Annex: A Collection of Her Short Stories, Fables, and Lesser-Known Writings"
Down in Flames,4.11,Down in Flames
Working with the Law: 11 Truth Principles for Successful Living,4.51,Working with the Law: 11 Truth Principles for Successful Living
Dream Chaser,3.81,Dream Chaser
"Berserk, Vol. 12",4.65,"Berserk, Vol. 12"
"The Consumerist Manifesto Handbook: The Guerilla's Guide to Making Corporations Pay for Faulty Goods, Substandard Services, and Broken Promises",3.9,"The Consumerist Manifesto Handbook: The Guerilla's Guide to Making Corporations Pay for Faulty Goods, Substandard Services, and Broken Promises"
Praying Through Cancer: Set Your Heart Free from Fear: A 90-Day Devotional for Women,4.53,Praying Through Cancer: Set Your Heart Free from Fear: A 90-Day Devotional for Women
Tick Tock,3.73,Tick Tock
The Death Sculptor,4.39,The Death Sculptor
The Gates,3.8,The Gates
Str8te Boys,3.65,Str8te Boys
With a Little Luck,4.22,With a Little Luck
A Countess Below Stairs,3.88,A Countess Below Stairs
On Wings of Song,3.78,On Wings of Song
Hammered,4.21,Hammered
The Metamorphosis of Prime Intellect,4.17,The Metamorphosis of Prime Intellect
K2: Life and Death on the World's Most Dangerous Mountain,3.98,K2: Life and Death on the World's Most Dangerous Mountain
Oleanna,3.62,Oleanna
Legend of the Sword,4.24,Legend of the Sword
The Duke in Denial,3.42,The Duke in Denial
Reckless,3.73,Reckless
The Vine Keeper . . . messages in Poetry and Prose,5.0,The Vine Keeper . . . messages in Poetry and Prose
The Stainless Steel Rat,3.93,The Stainless Steel Rat
Charlotte The Sunflower Fairy,3.83,Charlotte The Sunflower Fairy
Black Robe,3.75,Black Robe
The Green House,3.73,The Green House
The Stranger You Know,4.21,The Stranger You Know
A Jest of God,3.94,A Jest of God
Barkskins,3.79,Barkskins
Cain's Identity,4.18,Cain's Identity
Cleopatra,3.87,Cleopatra
In the Beginning,3.98,In the Beginning
An Involuntary Spy,3.63,An Involuntary Spy
Eros: A Journey of Multiple Loves,3.75,Eros: A Journey of Multiple Loves
Over the Edge of the World: Magellan's Terrifying Circumnavigation of the Globe,4.12,Over the Edge of the World: Magellan's Terrifying Circumnavigation of the Globe
Hedda Gabler,3.81,Hedda Gabler
The Haunted Showboat,3.89,The Haunted Showboat
H.M.S. Surprise,4.42,H.M.S. Surprise
The Seas,4.03,The Seas
Let It Go: A True Story of Tragedy and Forgiveness,4.23,Let It Go: A True Story of Tragedy and Forgiveness
The Secret Wish List,3.62,The Secret Wish List
The Three-Body Problem,4.06,The Three-Body Problem
"The Secret Race: Inside the Hidden World of the Tour de France: Doping, Cover-ups, and Winning at All Costs",4.35,"The Secret Race: Inside the Hidden World of the Tour de France: Doping, Cover-ups, and Winning at All Costs"
The Forbidden Tower,4.06,The Forbidden Tower
Nursery Rhyme Comics: 50 Timeless Rhymes from 50 Celebrated Cartoonists,4.06,Nursery Rhyme Comics: 50 Timeless Rhymes from 50 Celebrated Cartoonists
The Nose,3.89,The Nose
Captured Moments: Inspiration captured in verse,4.5,Captured Moments: Inspiration captured in verse
The Dreaming: Beyond the Shores of Night,4.12,The Dreaming: Beyond the Shores of Night
Magyk,3.82,Magyk
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",3.81,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment"
The Nigger Factory,3.8,The Nigger Factory
Suddenly Royal,3.89,Suddenly Royal
The Unlikely Romance of Kate Bjorkman,3.87,The Unlikely Romance of Kate Bjorkman
I Remember,4.06,I Remember
Girls with Swords: How to Carry Your Cross Like a Hero,4.09,Girls with Swords: How to Carry Your Cross Like a Hero
The Council of Mirrors,4.39,The Council of Mirrors
The Last Unicorn #1,4.47,The Last Unicorn #1
Nowhere but Here,3.96,Nowhere but Here
The Heart of Devin MacKade,4.16,The Heart of Devin MacKade
A Lot like Love,4.08,A Lot like Love
The Calvin and Hobbes Lazy Sunday Book,4.67,The Calvin and Hobbes Lazy Sunday Book
Of Love and Other Demons,3.98,Of Love and Other Demons
Crown Duel,3.98,Crown Duel
Surrender to Fate,3.92,Surrender to Fate
"Swamp Thing, Vol. 2: Love and Death",4.38,"Swamp Thing, Vol. 2: Love and Death"
Falling Under,3.78,Falling Under
Nothing About Business,4.61,Nothing About Business
A Story Like the Wind,4.39,A Story Like the Wind
Dirty Eden,3.6,Dirty Eden
PineLight,3.55,PineLight
The Girl with Ghost Eyes,3.88,The Girl with Ghost Eyes
Mothership,3.83,Mothership
Happy Hour in Hell,3.64,Happy Hour in Hell
Blood Noir,3.86,Blood Noir
Jack the Ripper: First American Serial Killer,3.56,Jack the Ripper: First American Serial Killer
Krylov's Fables (Classics of Russian literature),4.11,Krylov's Fables (Classics of Russian literature)
The Complete Grimm's Fairy Tales,4.28,The Complete Grimm's Fairy Tales
The Uncommon Reader,3.79,The Uncommon Reader
Scorpion Mountain,4.44,Scorpion Mountain
The Rogue Crew,4.19,The Rogue Crew
Songbreaths,4.3,Songbreaths
The Dry Lands: a Hutch and A'ris novel,4.27,The Dry Lands: a Hutch and A'ris novel
Dead End,3.59,Dead End
The Diary of Road Rage: Starts Out with Many But Boils Down to You,5.0,The Diary of Road Rage: Starts Out with Many But Boils Down to You
Poseidon’s Children,3.46,Poseidon’s Children
Malice,4.11,Malice
Are You Kidding Me?: The Story of Rocco Mediate's Extraordinary Battle with Tiger Woods at the US Open,3.84,Are You Kidding Me?: The Story of Rocco Mediate's Extraordinary Battle with Tiger Woods at the US Open
The Year of the Book,3.91,The Year of the Book
The Trial,3.96,The Trial
The Founding,4.44,The Founding
Life After God,3.79,Life After God
The New Victorians: A Young Woman's Challenge to the Old Feminist Order,3.57,The New Victorians: A Young Woman's Challenge to the Old Feminist Order
Predatory Kill,3.84,Predatory Kill
Island of the Sequined Love Nun,3.8,Island of the Sequined Love Nun
The Toilers of the Sea,4.08,The Toilers of the Sea
The Rebellion of the Hanged,4.09,The Rebellion of the Hanged
Troubles and Treats,4.16,Troubles and Treats
Undercover Princess,4.0,Undercover Princess
Jolly Foul Play,4.41,Jolly Foul Play
Eleven on Top,4.16,Eleven on Top
Where Darkness Lies,4.14,Where Darkness Lies
The Legend of Drizzt: The Collected Stories,4.16,The Legend of Drizzt: The Collected Stories
Death in Venice and Other Tales,3.9,Death in Venice and Other Tales
Across Time,3.85,Across Time
A Child's Garden of Verses,4.28,A Child's Garden of Verses
Ishmael,4.37,Ishmael
The Wife of Martin Guerre,3.65,The Wife of Martin Guerre
Beneath the Sugar Sky,3.92,Beneath the Sugar Sky
Angela: Queen of Hel: Journey to the Funderworld,3.8,Angela: Queen of Hel: Journey to the Funderworld
Monty: His Part In My Victory,4.17,Monty: His Part In My Victory
When Friendship Followed Me Home,4.22,When Friendship Followed Me Home
The Grift of the Magi,4.33,The Grift of the Magi
The Royal Ranger: A New Beginning,4.37,The Royal Ranger: A New Beginning
Let's All Be Brave: Living Life with Everything You Have,4.12,Let's All Be Brave: Living Life with Everything You Have
Babouk: Voices of Resistance,4.23,Babouk: Voices of Resistance
"I Am, I Am, I Am: Seventeen Brushes with Death",3.96,"I Am, I Am, I Am: Seventeen Brushes with Death"
Tales of Sex & Suburban Lunacy,3.44,Tales of Sex & Suburban Lunacy
In a Strange Room,3.57,In a Strange Room
End of State,4.14,End of State
Hadi,4.33,Hadi
I Thirst for You,3.98,I Thirst for You
Violation,3.55,Violation
The Lifeguard,3.59,The Lifeguard
Nothing Lasts Forever,3.55,Nothing Lasts Forever
The Mule Shoe,5.0,The Mule Shoe
The Selected Writings of Edgar Allan Poe,4.3,The Selected Writings of Edgar Allan Poe
The Melancholy of Haruhi Suzumiya,3.95,The Melancholy of Haruhi Suzumiya
Parker Pyne Investigates,3.77,Parker Pyne Investigates
The House of Gaian,4.11,The House of Gaian
A Short History of Decay,4.25,A Short History of Decay
Tales of Wonder from the Garden State,3.62,Tales of Wonder from the Garden State
168 Books to Change Your Life,4.36,168 Books to Change Your Life
Sugar and Spice,3.53,Sugar and Spice
Ghouls Gone Wild,4.09,Ghouls Gone Wild
Akiko on the Planet Smoo,4.01,Akiko on the Planet Smoo
The Everyday Life Bible: The Power of God's Word for Everyday Living,4.69,The Everyday Life Bible: The Power of God's Word for Everyday Living
Two Years Before the Mast: A Sailor's Life at Sea,3.99,Two Years Before the Mast: A Sailor's Life at Sea
Loving Mr. Daniels,4.25,Loving Mr. Daniels
The Infinite Sea,3.88,The Infinite Sea
The Power of One,4.33,The Power of One
The Star Wars Trilogy,4.25,The Star Wars Trilogy
Crushed,3.98,Crushed
Dead[ish],2.99,Dead[ish]
"Dead Girls, Dead Boys, Dead Things",3.65,"Dead Girls, Dead Boys, Dead Things"
Homeschooling with a Meek and Quiet Spirit,4.16,Homeschooling with a Meek and Quiet Spirit
I Dare,3.99,I Dare
Slaves of the Mastery,4.04,Slaves of the Mastery
The Immortal Crown,4.29,The Immortal Crown
Who Was Babe Ruth?,4.21,Who Was Babe Ruth?
A World Away,3.81,A World Away
Son,3.98,Son
"Me and My Mate Jeffrey: A story of big dreams, tough realities and facing my demons head on",4.24,"Me and My Mate Jeffrey: A story of big dreams, tough realities and facing my demons head on"
Flashman and the Dragon,4.27,Flashman and the Dragon
Chicago: City on the Make,4.17,Chicago: City on the Make
Mr. Muo's Travelling Couch,2.79,Mr. Muo's Travelling Couch
Pleasures of the Night,3.74,Pleasures of the Night
The Passion of the Western Mind: Understanding the Ideas that Have Shaped Our World View,4.23,The Passion of the Western Mind: Understanding the Ideas that Have Shaped Our World View
"You Really Are Full of Shit, Aren't You?",4.14,"You Really Are Full of Shit, Aren't You?"
Ellery's Duty,3.7,Ellery's Duty
Angelina's Bachelors,3.63,Angelina's Bachelors
Mummy Knew,4.23,Mummy Knew
The Broom of the System,3.84,The Broom of the System
Horseradish,4.04,Horseradish
The Complete Aubrey/Maturin Series (18 Volumes),4.85,The Complete Aubrey/Maturin Series (18 Volumes)
Absolutely Truly,4.02,Absolutely Truly
The Lotus Sutra,4.23,The Lotus Sutra
Sadie the German Shepherd Dog Puppy: How to House-Train your GSD without a Crate (Sadie the GSD),5.0,Sadie the German Shepherd Dog Puppy: How to House-Train your GSD without a Crate (Sadie the GSD)
The Gaze,4.5,The Gaze
Something More : In Search of a Deeper Faith,4.26,Something More : In Search of a Deeper Faith
The Cereal Murders,3.87,The Cereal Murders
